Text,Label,TextLength
مش عارف اعمل اى حاجة .حاسس انى فى عالم النوم . مش بصحى .,1,56
عيد ميلاد اليوتيوب النهارده .اليوتيوب وحد الناس .وجعل للجميع صوت.,0,65
قيامك ببعض الأعمال المنزلية لا يقلل من رجولتك. لست أكبر شأناً من الرسول.,1,72
للتخلص من الاكتئاب صلي ركعتين خالصة لوجه الله .وادعي فيها من ادعية الهم والحزن .,1,80
الناس اللى بتبقى على طبيعتها هى دى الناس اللى بتخش قلبك على طول  .,0,66
الناس اللى قالت نعم للدستور . ها اخذتوا سر وزيت ولا لسه .ربنا ينتقم منكم .,0,74
الراجل دخل اللجنة قبلنا وقال عامل عملية في رجلي وبتاع وأول ما طلع لقيناه بيجري . لا تخرج قبل ان تقول سبحان الله .,1,113
من يولد لك الضحكات فى احزانك .يستحق ان تهديه قلبك حتى لو كان عابرا او غريبا .,1,77
الاخوان دول اوسخ من انجبتهم مصر  .,1,34
انت وحدك بين الناس كافى والعمر بوجودك له احساس تانى  .,0,54
لو الناس مثلي لكانت الدنيا بخير   .,0,35
الجنة هى الحلم الوحيد  الذى لا ينتهى .اللهم انا نسالك رضاك والجنة  .,0,68
الشعب المصرى جواه نيللى كريم صغيرة بتطلع فى ايام الاستفتاء  يقولى لا اقولو اه يقولى اه اقولو لأ  .,1,98
و لأني احبك أراك  دون عن البشر . أستشعر كلماتك بمعنى أخر لأني احبكnegative لا مجال للتفاض فانت اغلى من يسكن قلبى   .,1,116
الطعنة اللى تعور القلب . هى الطعنه اللى تيجى من حد مش متوقع تتصدم منه  .,0,72
لا مصر هي الغالبه ان شاء الله  .,1,32
انا محترماك بس علشان الناس اللى فى المنشن  .,0,44
التظاهر بالسعادة أسهل بكثير من شرح اسباب حزنك لحد  .,1,52
الواحد حاسس انه مش فى الدنيا اقسم بالله  .,1,42
لأ خلاص مش قايل لحد اني عندي فوبيا حيوانات ‏. علشان محدش يستغلها  .,1,67
ساعات ناس بتوحشك بس للأسف مش هينفع تتكلموا . أصل هتكلم حد باعك  .,1,65
صعبة الحياة من غير موبايل وكمبيوتر .يخربيت كدا موبايلى باظ  .,1,61
الناس إلي كدا متخلفة ومش محترمه .الاحسن ان الكل مايتكلمش معاهم .,0,64
لو كانت نتيجة الاستفتاء ده لا .هتبقى المرة الاولى المصريين يقولو فيها لا بعد لا اله الا الله .,1,94
نستطيع أن نتخاصم مع من نحب. ولكن لا نستطيع أن نراهم يتأذون .,1,60
أبتسم وبعمق ليس من أجل شيء إنما لنفسك تلك فإن لها عليك حق .,1,59
كم هى جميلة اللكنة المصرية .,0,28
من كتر نومى فى البيت حاسس انى هتطرد منه .,1,41
اليوم يوم جميل كلمت صاحبتي من أيام الابتدائي . وفرحت لما سمعت صوتها  فيارب لا تحرمني منها .,1,91
تعبت نفسيا من التطبيل بكل مكان و بكل قناة و إذاعة .,1,51
لا تتوقف الحياة  بسبب بعض خيبات الأمل  .فالوقت لا يتوقف  عندما تتعطل الساعة .,1,77
ده كان فى الادب بتاع ثانوى ايام و الله ما كونتش بحفظه  .,0,56
انا عايزة بيت اعيش فى لوحدى مش عايزة اعيش مع حد .,1,49
في حاجات مش بحبها بس بعملها بس علشان الناس اللي بحبهم بيحبوها .,1,63
مش كل بنت بتبكى بيكون السبب انا بتحب .ممكن تكون جعانه مش اكتر .,1,63
الفقير ليس بالضروره من لا يملك المال .انما الفقير من لا يملك الاخلاق والعقل والضمير  .,1,86
عزيزي الزوج اذا سألتك زوجتك سؤال وهي حاطه إيدها فى وسطها .  فتأكد أنها عارفه الإجابه لضمان سلامتك لا تكذب .هتتقفش .,1,115
المصريين كل كلامهم ميت من الضحك . ميت من الجوع. ميت من البرد. ميت من الحر . شعب متوفي  الله يغفر له.,1,100
الايد اللى بمسك بيها الماوس خلاص قربت تتلج من كترالبرد .,1,56
فى دراسة بتقول ان الرجال اكثر رومانسية من المراة .كم انت جميل ايها الرجل المصرى .,1,81
الابتسامة عند الضيق هي قمة الصبر .,1,34
الوفاء كلمة تثرثر بيها الالسنه .وعند التضحية تخرس الكثير من الافعال .,1,69
مين سقعان تاني غيرى .هموت من البرد .,1,36
لما بشوف شكلى بالكاميرا الامامية للموبايل .بستعيذ من الشيطان الرجيم .,1,69
فى ناس بتتكلم عن مرسى ولا كانه من الصحابة مثلا .,1,48
إحيـانـا لا نشعـر بلـذة جمـال اليـوم إلا حينمـا نحـادث من نحـب.,1,63
مشكلتى لما بتعصب مش بعرف اهدى بسرعه .,1,37
هتشل من الناس الغبية اللى مش فاهمه حاجة وعمالة تكتب اى كلام .,0,61
الأسلوب عند ابداء الرأي اهم من الرأي نفسه   .,1,45
اكتشفت ان لكلمة ان شاء الله نوعين. الاولى اللى هى ان شاء الله هعملك كذا وكذا . والتانية اللى هو بعدين  .,0,104
الناس الطيبة ممكن يحصلها حاجات وحشة بس مش ممكن ربنا ميعوضهمش علي نيتهم الطيبة .,1,79
اللي بيحفظ القران القران بيحفظه . يا رب نبقي من حفظة القران .,1,61
.	انا من النوع اللى لما حد يكتب ليه تعليق حلو . كل شوية ادخل اشوفها واقراءها و ابتسم,1,84
انا بارعه فى حل مشكل كل الناس اللى حواليا .لكن مشاكلى بطة بلدى .,0,64
متقولش لا للدستور و انت أصلا مقرتوش .اقرأ الدستور الأول و بعد كدة قول لا برضوا.مش عارف انهو عبيط كتب الدستور ده .,1,113
أحب نفسي لما أكتشف أني جزء من إسعاد شخص أو جزء من نجاح شخص  .,1,61
من كل قلبي أريد أن أختفي لمده معينه  . لا يسأل عني أي مخلوق  وكأنني لم أخلق حتى .,1,81
ليس العيب ان تطلب المساعده من صديقك  ولكن العيب ان لا تتذكره إلا عند احتياجك له فقط.,1,84
بقت حياتي إما بالمدرسة ولا تعبان من المدرسة او نايم لأني جاي من المدرسة أو نايم عشان بكره مدرسة .,1,97
سيظل هناك من يكرهني و سأظل ارفع ضغطه بإذن الله .,1,48
الامنيات حتى وان لم تتحقق . فمجرد التفكير فيها تكون قد اخذت من العمر ما اخذت يا لقسوتها .,1,89
واثق في غباء الإخوان و أنهم لو زوروا هتقفشوا بسهولة  . و واثق في غباء الشعب اللي مش هيخلي الإخوان يبقوا محتاجين تزوير .,1,119
انت المفروض تحترم كلامي زي احترامك لكلام اي حد انا مش اقل من اي حد .,1,68
مصطفي بكري ظهر أهو علي قناة الحياة وبيتكلم عن التزوير  .وهو من اهلها  .,1,71
انتبه من كلامك .لانك بدات تغلط  .,1,33
هناك عقليات تعيش بيننا أخشى عليها من الانفجار . لكثرة التفكير بما يفعله الاخرون  .,1,82
الحقيقة هى كلمات جميلة وصادقة .,0,31
تحليلي لشخصيتي إنسانة حساسة تجاه النقد . صاحبة أسلوب مختلف  يمكن الاعتماد علي عند الحاجة .,1,90
بحب الناس الايجابية مهما كانت الدنيا وحشة .,0,43
ما اشاء الله فالاخبار يحذرون من ارتياد البحر التوقعات تبشر بالخير,1,65
ومن أمتي بننزل استفتاءات ولا انتخابات . إحنا مش عارفين النتيجة مسبقاً قشطة يعني .,1,81
مليت من الامتحانات .,1,20
تحليلي لشخصيتي شخص صريح وهادئ وبيحاول يكون متفاعل مع الناس  . الله عليا .,0,73
لا تكره ولا تحقد ولا تحسد .فقط احذف ﻣن لا تريد من أفكارك . وستجد العالم يتسع ﻟك ولهم. الحياة حلوة .,1,99
نفسى فى ساعه واحده مانتكلمش عن السياسة .قرفت من تويتر اقسم بالله .,1,66
سأعترف لك انك تحتل جزء كبيراً من فكري .,1,39
اذا لم تستطيع نسيان غلطات صديقك . فانت لم تكن صديقا له من البدية .,1,66
لعل أجمل أيامنا هي التي لم نعشها بعد  .تفائلوا بالخير تجدوه .,1,61
سئل حكيم : كيف تعرف من يحبك  فقال  من يحمل همي ، ويسأل عني،  ولا يمل مني ، ويغفر زلتي .,1,87
المنتخب السعودي خرج من بطولة غرب اسيا . اصلا عادي هو مش معترف بيه .,1,67
مؤلم عندما تحادث من تحب وتريد حديث طويل معه فترى انه ليس مهتم فتصمت .,1,69
انا دايما بقول اللي بفكر فيه مش بتكسف من افكاري .,1,49
البنت مش هتستني حد يدافع عنها وعن حقوقها هي قوية كفاية انها تعمل كدا بنفسها .,1,77
من اسبوع وانا عمال اعمل بلوك لناس كتير عندى تعبت .,1,50
اذا اردت الطيران عليك ان تتخلص من الاشياء التي تثقلك وانت ايضاً تخلص من همومك بأبتسامة  .,1,89
فكرة رائعة  لا تتخلص من مصبايحك القديمة. بل حولها لإضافات فنية مميزة لمنزلك  .,1,78
ولدي قلوب صديقات من طهر السحاب .  الله يسعدكم .,1,47
للأسف محدش  من الاخوان كلمني وانا رايح استفتي . كنت مستحلف .,1,60
قهوة المغرب فيها شيء غريب . بتخليك صاحى بس مش مركز .,1,52
فكلام الملوك احيانا لا يعجب الخدم. ليس من الضرورى ان يعجبكم كلامى .,1,67
صورة لرجل كبير السن منحني ظهره لم يمنعه المه و لا كبره من هجر القران .,1,70
ده احنا فى دوله مفيهاش اى نوع من انواع السياسه . يبقى المفروض يبقى مطلبنا بفصل السياسه عن الدوله  .,1,99
الى مضايق من باسم يوسف  احب اقوله كلمتين شايف الحيطه الى جمبك دى  .ايوه هى دى بعزم ما فيك بقى و اضرب دماغك فيها.,0,112
الحياة أمل فمن فقد الأمل فقد الحياة .  من اقتباسات احمد الشقيري .,1,65
مستعد اشيل عن امي تعب الدنيا كله ولا اني اشوفها موجوعة .,0,56
هى النيابة بقت بتاخد البلاغات بريتويت ولا اية   .,0,49
الاذكار تهدم جبل من السيئات .,1,29
إرضاء الناس غايه لا تدرك .,0,26
امى هى تاج راسى وست الكل .,0,26
واحد متصل من الغربيه علي قناه صدي البلد هو مدرس راح  الاستفتاء. لقي القاضي مدير المدرسه اللي بيشتغل فيها  .,1,107
تابع الناس بس لو علشان تحمد ربنا علي اللي في ايدك مش من باب الفضول وخلاص .,1,74
و أنا أقول ليه نص شعبنا سامج . اتاريهم بيدرسوا السماجة من و هم صغار .,1,69
والاغنية نفسها حاجة فظيعة انا لما بسمعها بسيبها شغالة ساعة او اتنين من حلاوتها .,1,80
مسخرة الصور اللى الواحد بيتصور فيها وقال ايه مش واخد باله .,1,59
أكتر حد بيكون نفسك تتكلم معاه هو اكتر حد مش بتلاقى حاجه تقولهاله .,1,66
انا اقدر اقول اننا كلنا نفس التفكير وعندنا نفس المشاكل ما تيجوا نعد مع بعض ونسمع بعض يمكن نلاقي حل .,1,100
محدش من حقه انه يتفه من حلمك مهما كان بسيط خليك متأكد ان حلمك هو حياتك وانت حياتك مش تافهة .,1,92
لو عايز تعبر عن رأيك اكتبه علي ورقة مش علي الحيطة .,1,51
أجمل لحظات الحب هى لحظة الاعتراف به . اعترفولي خليني احس باجمل اللحظات   .,0,74
حقيقه الرجال روحهم أجمل من روح البنات  .,1,40
إذا خسرت شخصاً لانك كنت صريحاً معه فانت الرابح . لان العقول الصغيره هي التي لا تستقبل الصراحه وتفضل المجامله .,1,110
بخجل جدا من هؤلاء الرائعين الذين يجدون لي ألف عذر حين أكون مقصر   .,1,67
اغار حد الوجع ، حد الجنون و حد الكثير من الغضب .,1,48
مش من بلدك و يطمنوا عليك لغاية لما تسافر . حقيقى شابو ليكم .,1,60
دماغى تعبت . بقيت مش قادرة استوعب اى كلمة .,1,43
السذاجة مش حاجة وحشة اوي يعني بس لازم تبقي مع ناس تقدرها فتحاول تساعدك انك تكون اوعي من كدا .,1,93
لم تفعل كغيرها من العشيقات . وتترك وردة جافة أو رساله للذكرى . وحدها سندريلا عرفت قدر الرجل وتركت له حذائها .,1,109
أنا فهمت لما مرسي قال احضنوا بعض .كان قصده فى لجان الاستفتاء  .  وسمعني سلام ازنقني كمان وأناراضي.,1,98
اللى مش بيحترم اللى قدامه وهو بيتناقش معاه .لا يستحق ان حد يحترمه .,1,67
من احلى الكلام الي سمعته  . بجد جميل اوى .,1,42
فى فرق بين انى بهزر وبين قله الادب .,0,36
البعد ضايقني وأنا انسان مشتاق والناس من يشتكي ليهم يفضحوه .,1,59
نعم الصدف هدايا من الله .,1,25
مش غريب ان النساء تشارك فى المظاهرات .من زمان وهى ليها دور فى المجتمع .,1,71
لست مجبره أن يفهم الاخرون من أنا .,1,34
لم اكن اصدق ان فراق البعض خيراً لي،  حتى قابلت من بعدهم .وادركت ان الله لا يأخذ منك ليحرمك  بل ليعطيك الافضل  .,1,111
اكتر كلمة بتحبها الست هي تعالي ننزل نشتري حاجات كتير .,1,54
مؤلم انك تكون وسط ناس مش بتحس بيك .,1,35
تحس ان البنات بتروح يوم فرحها مش لكوافير لا باين لبتاع دوكو .,1,61
اخسروا الناس عشان راحتكوا ومتخسروش راحتكواعلشان حد .,0,52
نظرا لطول الطابور والوقفة انضم بياع لب وسوداني وشيبسي لتسلية الناس . والله ده راجل سكر   .,0,90
تدمع عيني من الغيره عليه . ليته يفهم .,1,38
انا بحب امى اكتر ما هى بتحبنى انا بعشقها .,0,42
اسلوب راقي  وابتسامه دافئه ونضره هادئه ٺجعل من يخطئ بحقك يندم بفعله .,1,69
هما الفولورز بيزيدوا واحدة واحدة كدة ليه. انا عايز بالكمية مش هينفع كدة ‏‎.,1,75
مادة الدراسات هي اللي بتعرفك حاضر بلدك قبل ماضيها .,1,51
انا مش فاهم هو اتغير كدا ازاي بس بقي كدا احلي .,1,47
المفروض اكون متخرج من سنتين .بس منها لله تجارة بقى .,1,52
مزيكا عمر خيرت الصبح كدا من الحاجات اللي بتعدل مزاجي اوى .,1,58
اعوذ بالله من الشماته بتاعتك . يحرقك .,1,38
فى شعوب كتير بيحصل فيها ازمات . بس مش بيعملوا زى المصريين كدا.,1,62
هى كدا فالبعض يولد عظيما .,0,26
بس بجد المجد للسيدات  النهاردة .صوت المرأة صرخه بتقول انا مش عورة.,1,66
اللى يخليك تضحك من قلبك بعد البكاء . شخص لا يقدر بثمن .,1,55
قلبك لي فقط  أخبر الذين من حولك بذلك   .,1,40
الواحد محتاج يفتح كشك يوزع فيه حب و تفاهم علي الناس عشان المشاكل تخف شوية .,0,75
بجد متشوقة اني اعرف ولاد ثانوي عملوا ايه السنة دي علي الله يكونوا اتوفقوا .,1,75
سيبك من الناس اللي بتزعلك وتسببلك حزن وركز مع اللي سبب في سعادتك حتي لو كان شخص واحد بس .,0,89
دول هيبقوا من القائمة السوداء  .,1,32
اسهل شئ عند الحكومة الكلام وبس .,1,32
يقولون من عاب  بشئ ابتلى بهذا العيب .,1,37
البساطة هى ان تعتزل عن ضجيج العالم .بينما الحياة ان تتكيف مع هذا الضجيج .,0,73
السعادة تأتينا من أماكن لم نكن نتوقعها أبدا  .,1,46
انا بقى لا بصدق الفيسبوك ولا الاعلام ولا تويتر ولا نيلة  .مش بصدق الا عينى واوراق الحكومة اللى عليها ختم النسر .,1,112
واضح ان كل الناس قررت تنزل دلوقتي علشان الروقان . اتفضلوا معانا .,0,65
اذا كنت تريد ان تبقى سعيدا . دع ما حصل لك من اسى بالامس فى الامس .لا تاخذه معك للغد .,1,85
و بعد اسبوع من المعاناة مع الانفلونزا و ادوية البرد اللي بتسطل اخير ابدأت افوق .,1,80
الله يحرق الشاطر وكل من عاونهم .,1,32
الاخوان بيحاولوا يقنعوا الناس بالدستور باى طريقة . قرف بجد .,0,60
اوفى الاصدقاء من يسأل عنك عندما تغيب لفتره حتى ولو كانت قصيره .,1,63
لما توصل لمرحلة إنك مش منتظر أي حاجة من أي حد . مبروك إنت كده ممكن تعيش سعيد  .,1,79
قليل من يبقى معك مثل البداية  .,1,31
كل القنوات من شوية قطعت التغطية لي الاستفتاء عشان الأذان . ماعدا قناة مصر مكملة عادي جدا معلش أصل معاها واسطة .,1,111
ايوة انا عايزة الهدية مش مهم هي ايه بس انا عايزة هدية  .,1,56
تحرير اكثر من  محضر ضد قضاه مزيفين.  قال استفتاء نزيه قال .بلد بنت تيت .,1,72
ﻣﻦ ﻳﻌﺮﻑ نفسه جيدا. لا يضره ما قاله الناس عنه .,0,46
كلمت خالتي و جدتي دلوقتي قلتلهم الأستفتاء اتمد للساعة . قالوا لو اتمد العمر كله مش هننزل ه .,1,92
الله يستر من حضور القوات الخاصه فى الميدان .ممكن يعمل زياده احتقان وفوى اكتر .,1,78
فى ناس بسيطة قد ايه جميلة من جوا .,1,34
شهر سبعة قرب اوعدك اني خلاص بعد الامتحانات نتقابل ونخرج  .,0,58
ما أقدر أقاوم  واحد جمبي يشفط بالاندومي . بحس انى هضربه مش بحب صوت فى الاكل  .,1,78
تبكي سرا وتضحك علنا تلك هي النفوس الواثقة بالله .,1,49
لازم تكون معايا مش ضدي. اومال اصحاب ايه وزفت,1,44
احنا شعب على طول مستعجل عايز ينجح بسرعه . يترقى بسرعه باى طريقة مش مهم .,1,72
ياريت كل استاذة لما تعطي لينا بحث . تدخل هي النت و تشوف اذا فيه مواضيع عنه ولا لا‏. متقرفوناش معاكم  .,1,102
اكره الناس المتصنعه و الكاذبه .,0,31
التلفزيون المصري لسه بيجيب الكاميرا الخفية بتاعت زكيا زكريا .ناس قديمة اوى مش مواكبة التطور .,1,93
الحكاية مش بتخلص الحياة بتمشي مهما ناس مشيت و مهما ناس جت .,1,59
احنا لازم نوعي كل اللي اصغر مننا بانهم يبعدوا عن اي غلط احنا وقعنا فيه من غير اي كسوف .,1,87
ليه بيسموا الناموس ناموس عشان بيخلي الناس مايناموس    .,0,55
عايزة اتجوز مسلسل مضحك اوى .,1,28
"ربي اجعلنا من اصحاب هذه الاية ."" وجوه يومئذ ناعمة لسعيها راضية  "".  قولوا امين  .",1,81
هفضل مبسوط مها حصل من الدنيا .,1,30
احيانا من كثر ما اتنرفز بتفهم غلط .,1,35
ليس مهم أن أكون سعيد . الأهم أن أعرف كيف أسعد من أحب. فهنا تكمن سعادتى  .,1,73
وربما أنا احتاج حديثا يريحني . تعبت من الصمت .,1,46
يعني مش لوحدى اللى معترض فى كتير هنا اهو .,1,42
دى اهداء لكل من يتايعني  .,1,26
من يريد الرحيل فليرحل وله مني إبتسامة من قلب  .,1,47
محشش قالوله تبرع علشان نبني جدار للمقبره  قال عن الحركات عاد انا عمري ماسمعت عن ميت انحاش,1,89
انا عايزة مصر اللى كانت ايام الثورة .مش اللى موجوده دلوقتى .,1,60
الناس بقت ماشية تكلم نفسها من الاسعار .حتى الطفح مش لاقينه.,0,59
احنا دول عالم ثالت متخلف . يعنى مشاريعك دى مش هنا وافكارك دى عمرها ما هتطبق هنا .,1,81
ايه الحاجات الحلوة دى  .,0,24
احنا بنفكر و نخطط و نحاول و القدر ميت من الضحك .,1,48
نساء المنصوره منتفضين واكتساح بلا .أنا قلت من الأول إن مكرهن عظيم يا مرسى .,1,75
من رفع نفسه فوق قدرها.  صارت نفسه محجوبة عن نيل كمالها .,1,56
المكياج لإضافة لمسة جميلة هادئة لك وليس لتخويف الناس فى الشارع منك ليها  .,0,74
نحب الناس باسلوبهم الحقيقي، بطبيعتهم ، بمبادئهم واخلاقهم الحقيقيه . بمعنى ادق لشخصيتهم الحقيقة  بس  .,0,101
شئ قذر ان الناس تفسر تصرفاتك على حسب مزاجها . فاكرين الناس كلها على كيفهم .,0,75
جميلة هى الثقة بان كل وجع سوف يمضى .,0,36
فاكس كلام الناس اهم حاجة انك صح و بس  .,0,39
سبحان الله انا من الظهر بذاكر لحد دلوقتى.واول لما مسكت الموبايل امى شافتنى  .,1,77
مش بحب المسلسلات التركى كلها سهوكة سواء شباب او بنات .,1,54
اي ست من حقها انها تشتغل لو هي قادرة علي كدا وعايزة كدا و مش من حق اي راجل انه يمنعها .,1,87
تخيلي ينزل عليك جبال من الحسنات والسبب انك نشرتيها .,1,52
مبكرهش قد اللي بيدخل في نص اللجنة و يقول ها يا جماعة الامتحان سهل. طب يعني لو مش سهل هتاخده و تجيب واحد اسهل.,1,109
طبعا هي غلطانه. حد يمشي ورا سيسي .,1,34
الاهل اصلا تعبوا من المصاريف  .,1,31
محبة الناس دي دنيا تانية ربنا يرزقنا كلنا بيها .,0,48
عارف انت الشخص اللي نفسك تقوله خد بالك انا بضيع من ايدك. بس غالبا بتسكت ومش بتقولها . لان معندكش الشجاعه انك تقولها .,1,117
ياعم نفسي اعرف انت بتتناقش مع واحد من الفلاحين ليه اساسا . انت راجل متعلم كويس . كبر دماغك .,1,92
لما ببقي قلقانة و مش بعرف انام بتخيل نفسي نايمة عشان اقدر اروح في النوم .,1,73
ابوك خلودي وﻻ ايش  خالد بس ادلعه  بعدين صاروا كل الناس يسمونه مثثلي .,0,69
بقرح لما بحقق شئ من اللى كنت مخطط ليه  .,1,40
فيه ضمير لابس عبايه ليه  . علشان مستتر  . اضحك من قلبك يالا.,1,60
اشك ان معدتي تعاني من زهايمر . تاكل و تنسى   .,1,46
زهقت من عمرودياب   .,1,20
ذاكر يابن ادم مذاكرة الكلاب.  برده الامتحان مش هاييجي من الكتاب  .,1,66
عندما يمدح الناس شخصا  تجد القليل يصدق ولكن عندما يذمونه فالجميع يصدقون.,0,72
الناس اللى بتعمل حاجات عشان تضايقنى .على فكرة انتوا بتضيقوا نفسكوا مش بتضيقونى انا.,0,83
ان السعادة تنبع من الداخل . فهي ليست كالامور الخارجية   .,1,57
مفيش حاجه اهم من مستقبل الواحد  .,1,33
شربت الخمر من انواع مذهبات العقل   .,1,36
الجميع يكتب والقليل يقرأ ونادرا تلاقى من يفهم .,1,47
حتى عند الطيور عندهم سياسة تكميم الافواه  .,1,43
حاسس انى مش هفلح فى الثانوية العامة .,1,37
قمه الدهشة انك تنجح . قمة الغباء انك تقرا كتاب مش فاهمه .,1,57
صحبتك اللي تشتريلك من فلوسها اللى نفسك فيه. لا تخسريها  .,1,57
واحد جاه ابوه وهو ماسك الكتاب قاله  تذاكر . قال لا الدخول مجانا . اضحكوا شوية قبل الامتحانات  .,1,95
للاسف مش بعرف اذاكر الا مع المزيكا .,1,36
معرفش اتفرج علي فيلم من غير مايبقي قدامي ترابيزة كاملة كلها فشار ولب وسوداني .,1,78
مفيش احسن من اتنين سابوا بعض وهي بتقول عليه راجل وهو بيقول عليها محترمة  .,1,74
مفيش اجمل من الشخص اللي تجي تراضيه.  و يقولك اصلا انا مقدرش ازعل منك  .,1,71
مبارك مش طلع بس ميت، دا طلع مسيحي كمان ، الاتنين مسيحي وميت ، يخربيت ام الهبل  .,1,80
الواحد حاسس انه بدأ يتخن بطريقة مش تمام خالص .,1,46
من كتر الخوف من البلطجية فى شوارعنا بنات ماشية ﻭبتدعي ﺭبنا توصل بيتها من غير ما يحصلها حاجة ﺗضرها  .,1,100
كل سنة وانتم طيبين جميعا ، السنة ال جاية مصر  تكون احسن من دلوقتي  .وتظل بخير دائما ان شاء الله.,1,96
هى فين الحرية دى .انا مش شايف ايتها حاجة .,0,42
والله احلى قصة سمعتها . جميلة اوى .,1,35
قد نكون يوما من ضمن الغائبين . ولكن نتمنى ان نكون قد زرعنا اثرا جميلا  .,1,72
ذاكر يابن ادم مذاكرة الكلاب  .برضوا اﻻمتحان مش هيجى من الكتاب.,1,62
القرار اللى قررته : انى مش هفتح النت وقت المذاكرة .راح فى مهب الريح .,1,69
انا بحب ارغي كتير مع الناس اللي بحبها ببقي مش عايز اسيبهم .,0,59
اكيد لا طبعا انا عمري مااعمل كدا مش بس عشان حرام طبعا لكن حتي تربيتي واخلاقي ميسمحوش .,1,86
لو كنت مشهور كنت استغليت شهرتي في كل حاجة ممكن تفيد الناس .,0,59
اول مرة اشوف واحدة بتبقي احلي وهي بتعيط بس انا مش مستغرب انتي طلعتي بتحلوي اكتر في كل حالاتك .,1,94
لازم تعمل مسافة بينك و بين الناس عشان محدش يتعدي حدوده معاك .,0,61
لا انا مش بسمع اي حد انا بسمع المشاهير اوي بس .,1,47
فى بنات كدا بتبقى مش عارف هى زعلانه ولا مبسوطة ولا ايه .,0,56
بالرغم من الاختلاف خفيف سياسا بس الدماغ . بسم الله ما شاء الله حلوة شخصية كويسة جدا والكلام حلو معاك .,1,102
بس ياعمنا وربنا مقلق فى مواد مش هتتفتح بسبب الرياضة لازم انج فيها زى الداتا استركشر . اه يانى ياما .,1,100
والله انا صحتي بالدنيا. بلا امتحانات بلا وجع دماغ . العمر مش بعزقه يعني .,1,73
قالك مش عايز احلف. بس اقسم بالله العظيم دي كانت سنة مهببة .,1,59
انا مش اسفة علي اي تصرف مش متوقع خرج مني انتوا كمان افعالكم كانت مش متوقعة .,1,76
انا ممكن افرح و ازعل مع نفسى فجأه كده من غير ماحد يجي جمبي .,1,60
صحابك الي بجد هما الي انت عارف تاريخ ميلادهم من غير ماحد تاني يفكرك .,1,69
انا هرمى كتاب الفيزياء خلاص .بلا ثانوية عامة بلا قرف .,1,54
لا تعامل الناس باسلوب وحش بحجة مزاجك السيء  .فليس الجميع كامك ليفهموك .,0,71
نحن لا نعاتب الا من يهمنا امره .,1,32
مينفعش تتخلى عنها تحت أى سبب من الأسباب مادام بتحبها يبقى لازم تستحملها عشان أنت راجل  .,1,88
يص يا معلم سواء كنت ليبرالي او اخواني او سلفي او بطيخي او اي بتاع .هنا مش بنتكلم فى السياسة مش طالبة زهق .,1,106
من اسباب رفعة الضغط تكون موجود فى مكان مفهوش نت.,1,48
هى الناس كدا مجاريح ، محاريق ايفرى وير .,0,40
استغفرك ربي  عدد رمشات العيون من خلق ادم الى يوم يبعثون,1,55
بعض الناس مثل العطسه .اول ما تروح تقول الحمدالله .,0,50
انا اتبسطت اوى انى اتعرفت عليكى .سبحان الله جت صدفة بس صدفه حلوة  .,1,67
الحكومة عاملة نفسها من بنها .,1,29
عارفة انها ايام صعبة بس عجباني قوتك وانك مصممة تعافري فيها شاطرة واوعي تخلي حد يقولك مش هتقدري .,1,96
"لا و الله بتكلم بجد انا فعلا بستخدم كلمة "" يتلاشى "" كتير جدا و بقصد بيها غير المعنى ده خالص  .",1,94
"اذا غشيتي فالاختبار و قالت لك المراقبه "" من غشنا فليس منا "". قولي لها ""و من راقب الناس مات هما""  .",0,98
ولان الحياه غالبا مش هتيجى ﻋلى كيفك .حاول تحس بالرضا وخلاص  .,1,61
سيبك منهم .الناس اللى زى دى مش بحب اتكلم معاهم خالص  .,0,54
فعلا هو من اجدع الناس اللي قابلتها . مع اني متعاملتش معاه كتير بس هو راجل بامانه حبيب قلبي  .,0,93
دي ناس مش عايشة معانا والله  .,1,30
الحكومة مش حرمانا من حاجة .الكمبيوتر هيفجر من الكدب  .,1,54
الصفحة دي عليها شوية مزيكا و أغاني من بتوعي. تقدر تسمع و تحمل زى ما انت عايز . موسيقى كلاسيكية .,1,96
كتروا الناس المطبلتية على تويتر وكل واحد بطبلة شكل  .,0,53
عند حضورك  تبتسم الحياة .,1,25
من تواضع لله رفعه .,1,19
اسرقوا من العمر حياة . قبل ان يسرق العمر اجمل سنوات حياتم . كفاية اللى راح من عمرنا   .,1,87
لو بصيت للدنيا من فوق هتشوفها احلى وهترتاح كتير.وهتوحشنا .,1,58
مشكلتي اني بعشق العناد بس اللى يعاند معايا بنفخه .,0,50
هو فيه ادوية الناس بتاخدها علشان موضوع دوار البحر ده باين .,0,59
بعض الناس لما اشوفهم في التايم لاين . حقيقى  بتجيني كل الامراض دفعة واحدة.,0,74
الى الجيش اللبناني ممكن تاخذوا النفط اللي بالبراميل .وترجعوا البراميل عايزنها هنا للمنتدى . نولع فى بعض الناس  .,0,112
الله لا يشغلنا الا بطاعته .,1,27
تعريف السعاده هى الابتعاد عن البيت بالقدر المستطاع مع وجود مال و شله فاسده .,0,76
بقت حاجة طبيعية ان اخد صدمات في الناس .,0,39
وصلت لهدف من اهدافي العمليه الحمدلله .,1,38
هو كل واحد وليه وقته بس مش معني كدا ان كل الناس وحشين او ان كلهم هيمشوا .,0,73
روتين الحياة صعب وممل اوى .,1,27
لو لسة ليا غلاوة عندك اوعدني انك تخلي بالك من نفسك .,1,52
